schema_version,benchmark,problem,arm,language,source_sha256,input_sha256,execution_id,metric,value,value_relation,status,not_measured_reason,adapter,adapter_version,runtime,observation_convention,repetitions,source_profile
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,short-trace-final,python,1ad3d230839269ddc97e4b2fbe4ceeaa387b1c6330c3e4cc920857a0e3db2be8,c5eeedf44a3271eafd93e637ffd425ca993730afa851de3db0bab0941500dfe6,sha256:60c3b792362795942d4de74fad3d6d37a2249bc60e316471bbfeb2b332cad60b,Omega_CC,44,=,MEASURED,,python-control-flow-v2,python-control-flow-v2,CPython 3.12.11,,1,experiments/lcb_hard_v1_python/measurements/program-complexity/short-trace-final/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,short-trace-final,python,1ad3d230839269ddc97e4b2fbe4ceeaa387b1c6330c3e4cc920857a0e3db2be8,c5eeedf44a3271eafd93e637ffd425ca993730afa851de3db0bab0941500dfe6,sha256:60c3b792362795942d4de74fad3d6d37a2249bc60e316471bbfeb2b332cad60b,Omega_hat_NativeTrace,3960,=,MEASURED,,python-cpython-monitoring-instruction-v2,python-cpython-monitoring-state-v5,CPython 3.12.11,python-cpython-monitoring-instruction-v2,3,experiments/lcb_hard_v1_python/measurements/program-complexity/short-trace-final/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,short-trace-final,python,1ad3d230839269ddc97e4b2fbe4ceeaa387b1c6330c3e4cc920857a0e3db2be8,c5eeedf44a3271eafd93e637ffd425ca993730afa851de3db0bab0941500dfe6,sha256:60c3b792362795942d4de74fad3d6d37a2249bc60e316471bbfeb2b332cad60b,Omega_hat_StateSize,146,=,MEASURED,,python-cpython-program-state-v5,python-cpython-monitoring-state-v5,CPython 3.12.11,initial-next-opcode-mutation-boundary-return-v1,3,experiments/lcb_hard_v1_python/measurements/program-complexity/short-trace-final/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,short-trace-final,python,1ad3d230839269ddc97e4b2fbe4ceeaa387b1c6330c3e4cc920857a0e3db2be8,c5eeedf44a3271eafd93e637ffd425ca993730afa851de3db0bab0941500dfe6,sha256:60c3b792362795942d4de74fad3d6d37a2249bc60e316471bbfeb2b332cad60b,Omega_hat_StateLoad,43904,=,MEASURED,,python-cpython-program-state-sum-v1,python-cpython-monitoring-state-v5,CPython 3.12.11,initial-next-opcode-mutation-boundary-return-v1,3,experiments/lcb_hard_v1_python/measurements/program-complexity/short-trace-final/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,long-trace-final,python,1ad3d230839269ddc97e4b2fbe4ceeaa387b1c6330c3e4cc920857a0e3db2be8,4ed7bce4a067b244cf282cfa33b19a9e40e7613ac18dc42e50f5c257878a31d8,sha256:cbb96bed61a8c600fb5c1c39ed0a4dd4498721740226ec37b5bc01f1dbea695e,Omega_CC,44,=,MEASURED,,python-control-flow-v2,python-control-flow-v2,CPython 3.12.11,,1,experiments/lcb_hard_v1_python/measurements/program-complexity/long-trace-final/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,long-trace-final,python,1ad3d230839269ddc97e4b2fbe4ceeaa387b1c6330c3e4cc920857a0e3db2be8,4ed7bce4a067b244cf282cfa33b19a9e40e7613ac18dc42e50f5c257878a31d8,sha256:cbb96bed61a8c600fb5c1c39ed0a4dd4498721740226ec37b5bc01f1dbea695e,Omega_hat_NativeTrace,1641851,=,MEASURED,,python-cpython-monitoring-instruction-v2,python-cpython-monitoring-state-v7,CPython 3.12.11,python-cpython-monitoring-instruction-v2,1,experiments/lcb_hard_v1_python/measurements/program-complexity/long-trace-final/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,long-trace-final,python,1ad3d230839269ddc97e4b2fbe4ceeaa387b1c6330c3e4cc920857a0e3db2be8,4ed7bce4a067b244cf282cfa33b19a9e40e7613ac18dc42e50f5c257878a31d8,sha256:cbb96bed61a8c600fb5c1c39ed0a4dd4498721740226ec37b5bc01f1dbea695e,Omega_hat_StateSize,11662,=,MEASURED,,python-cpython-program-state-v5,python-cpython-monitoring-state-v7,CPython 3.12.11,initial-next-opcode-mutation-boundary-return-v1,1,experiments/lcb_hard_v1_python/measurements/program-complexity/long-trace-final/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,long-trace-final,python,1ad3d230839269ddc97e4b2fbe4ceeaa387b1c6330c3e4cc920857a0e3db2be8,4ed7bce4a067b244cf282cfa33b19a9e40e7613ac18dc42e50f5c257878a31d8,sha256:cbb96bed61a8c600fb5c1c39ed0a4dd4498721740226ec37b5bc01f1dbea695e,Omega_hat_StateLoad,2326401538,=,MEASURED,,python-cpython-program-state-sum-v1,python-cpython-monitoring-state-v7,CPython 3.12.11,initial-next-opcode-mutation-boundary-return-v1,1,experiments/lcb_hard_v1_python/measurements/program-complexity/long-trace-final/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,inside-loop-state,python,98c7907ac73b296a948b1e5404b2a68223695eeefc262e5831d7f4ebf90faf0c,4ed7bce4a067b244cf282cfa33b19a9e40e7613ac18dc42e50f5c257878a31d8,sha256:80ac91b456b978a9b667edd5d7ee71257e76860064f04d54d5af43cd73fedc2c,Omega_CC,45,=,MEASURED,,python-control-flow-v2,python-control-flow-v2,CPython 3.12.11,,1,experiments/lcb_hard_v1_python/measurements/program-complexity/inside-loop-state/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,inside-loop-state,python,98c7907ac73b296a948b1e5404b2a68223695eeefc262e5831d7f4ebf90faf0c,4ed7bce4a067b244cf282cfa33b19a9e40e7613ac18dc42e50f5c257878a31d8,sha256:80ac91b456b978a9b667edd5d7ee71257e76860064f04d54d5af43cd73fedc2c,Omega_hat_NativeTrace,1409182,=,MEASURED,,python-cpython-monitoring-instruction-v2,python-cpython-monitoring-state-v7,CPython 3.12.11,python-cpython-monitoring-instruction-v2,1,experiments/lcb_hard_v1_python/measurements/program-complexity/inside-loop-state/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,inside-loop-state,python,98c7907ac73b296a948b1e5404b2a68223695eeefc262e5831d7f4ebf90faf0c,4ed7bce4a067b244cf282cfa33b19a9e40e7613ac18dc42e50f5c257878a31d8,sha256:80ac91b456b978a9b667edd5d7ee71257e76860064f04d54d5af43cd73fedc2c,Omega_hat_StateSize,11662,=,MEASURED,,python-cpython-program-state-v5,python-cpython-monitoring-state-v7,CPython 3.12.11,initial-next-opcode-mutation-boundary-return-v1,1,experiments/lcb_hard_v1_python/measurements/program-complexity/inside-loop-state/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,inside-loop-state,python,98c7907ac73b296a948b1e5404b2a68223695eeefc262e5831d7f4ebf90faf0c,4ed7bce4a067b244cf282cfa33b19a9e40e7613ac18dc42e50f5c257878a31d8,sha256:80ac91b456b978a9b667edd5d7ee71257e76860064f04d54d5af43cd73fedc2c,Omega_hat_StateLoad,1932400866,=,MEASURED,,python-cpython-program-state-sum-v1,python-cpython-monitoring-state-v7,CPython 3.12.11,initial-next-opcode-mutation-boundary-return-v1,1,experiments/lcb_hard_v1_python/measurements/program-complexity/inside-loop-state/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,post-loop-state,python,70ee92cbec8a3b24c83050602010ccb1b82e29e0ea0150c7473270f9ef070430,4ed7bce4a067b244cf282cfa33b19a9e40e7613ac18dc42e50f5c257878a31d8,sha256:9d2e8b414dee4d3bd2e3ad103b31c1df8b25bb0e417ef0d8f7f263073337f4cb,Omega_CC,45,=,MEASURED,,python-control-flow-v2,python-control-flow-v2,CPython 3.12.11,,1,experiments/lcb_hard_v1_python/measurements/program-complexity/post-loop-state/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,post-loop-state,python,70ee92cbec8a3b24c83050602010ccb1b82e29e0ea0150c7473270f9ef070430,4ed7bce4a067b244cf282cfa33b19a9e40e7613ac18dc42e50f5c257878a31d8,sha256:9d2e8b414dee4d3bd2e3ad103b31c1df8b25bb0e417ef0d8f7f263073337f4cb,Omega_hat_NativeTrace,1422944,=,MEASURED,,python-cpython-monitoring-instruction-v2,python-cpython-monitoring-state-v7,CPython 3.12.11,python-cpython-monitoring-instruction-v2,1,experiments/lcb_hard_v1_python/measurements/program-complexity/post-loop-state/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,post-loop-state,python,70ee92cbec8a3b24c83050602010ccb1b82e29e0ea0150c7473270f9ef070430,4ed7bce4a067b244cf282cfa33b19a9e40e7613ac18dc42e50f5c257878a31d8,sha256:9d2e8b414dee4d3bd2e3ad103b31c1df8b25bb0e417ef0d8f7f263073337f4cb,Omega_hat_StateSize,11662,=,MEASURED,,python-cpython-program-state-v5,python-cpython-monitoring-state-v7,CPython 3.12.11,initial-next-opcode-mutation-boundary-return-v1,1,experiments/lcb_hard_v1_python/measurements/program-complexity/post-loop-state/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_e,post-loop-state,python,70ee92cbec8a3b24c83050602010ccb1b82e29e0ea0150c7473270f9ef070430,4ed7bce4a067b244cf282cfa33b19a9e40e7613ac18dc42e50f5c257878a31d8,sha256:9d2e8b414dee4d3bd2e3ad103b31c1df8b25bb0e417ef0d8f7f263073337f4cb,Omega_hat_StateLoad,1957450842,=,MEASURED,,python-cpython-program-state-sum-v1,python-cpython-monitoring-state-v7,CPython 3.12.11,initial-next-opcode-mutation-boundary-return-v1,1,experiments/lcb_hard_v1_python/measurements/program-complexity/post-loop-state/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_f,short-trace-final,python,08177d84ba34a39631c30a1ce4eff29bf5d0801bbcc970288935008cdcbc277c,7485a5c6dc28c84fdd1a5e6b8090eb73c597b73e5c636dcfaf09f701406454c0,sha256:71c9e001d469bb225c365172c1cd06e9116446fa58544907ef76249133a408c9,Omega_CC,15,=,MEASURED,,python-control-flow-v2,python-control-flow-v2,CPython 3.12.11,,1,experiments/lcb_hard_v1_python/measurements/program-complexity/short-trace-final/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_f,short-trace-final,python,08177d84ba34a39631c30a1ce4eff29bf5d0801bbcc970288935008cdcbc277c,7485a5c6dc28c84fdd1a5e6b8090eb73c597b73e5c636dcfaf09f701406454c0,sha256:71c9e001d469bb225c365172c1cd06e9116446fa58544907ef76249133a408c9,Omega_hat_NativeTrace,2201,=,MEASURED,,python-cpython-monitoring-instruction-v2,python-cpython-monitoring-state-v5,CPython 3.12.11,python-cpython-monitoring-instruction-v2,3,experiments/lcb_hard_v1_python/measurements/program-complexity/short-trace-final/python/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_python,atcoder/abc301_f,short-trace-final,python,08177d84ba34a39631c30a1ce4eff29bf5d0801bbcc970288935008cdcbc277c,7485a5c6dc28c84fdd1a5e6b8090eb73c597b73e5c636dcfaf09f701406454c0,sha256:71c9e001d469bb225c365172c1cd06e9116446fa58544907ef76249133a408c9,Omega_hat_StateSize,134,=,MEASURED,,python-cpython-program-state-v5,python-cpython-monitoring-state-v5,CPython 3.12.11,initial-next-opcode-mutation-boundary-return-v1,3,experiments/lcb_hard_v1_python/measurements/program-complexity/short-trace-final/python/profiles.jsonl
