program,problem,arm,language,source_sha256,input_sha256,execution_id,Omega_CC,Omega_hat_NativeTrace,Omega_hat_StateSize,Omega_hat_StateLoad,state_measurement_status,Omega_hat_NativeTrace_relation,Omega_hat_NativeTrace_reported,Omega_hat_StateSize_relation,Omega_hat_StateSize_reported,Omega_hat_StateLoad_relation,Omega_hat_StateLoad_reported
atcoder/abc301_e/short-trace-final,atcoder/abc301_e,short-trace-final,Python 3.12,1ad3d230839269ddc97e4b2fbe4ceeaa387b1c6330c3e4cc920857a0e3db2be8,c5eeedf44a3271eafd93e637ffd425ca993730afa851de3db0bab0941500dfe6,sha256:60c3b792362795942d4de74fad3d6d37a2249bc60e316471bbfeb2b332cad60b,44,3960,146,43904,EXACT,=,3960,=,146,=,43904
atcoder/abc301_f/short-trace-final,atcoder/abc301_f,short-trace-final,Python 3.12,08177d84ba34a39631c30a1ce4eff29bf5d0801bbcc970288935008cdcbc277c,7485a5c6dc28c84fdd1a5e6b8090eb73c597b73e5c636dcfaf09f701406454c0,sha256:71c9e001d469bb225c365172c1cd06e9116446fa58544907ef76249133a408c9,15,2201,134,50794,EXACT,=,2201,=,134,=,50794
atcoder/abc302_f/short-trace-final,atcoder/abc302_f,short-trace-final,Python 3.12,cf34f3113ff69a02173952f16e36b1d0ac43eb2e26435d3f1713b36c2a2adcc1,fc3feb52159fa71ca05e646c94188c431707be60310445f4bdc9bd53c38b5c06,sha256:c3ffdb66205a2b872960c6dbb9f2825bd83f1bf7abc9dc8de0507006a53cfe50,18,580,68,5009,EXACT,=,580,=,68,=,5009
atcoder/abc303_e/short-trace-final,atcoder/abc303_e,short-trace-final,Python 3.12,1b6d712ffc2eab57e29cb6c7b6623ab57f1a878cf61e53e762f1ac66c0795c39,76162dc70e3cb02882fc8257f54e948b6fe58ef0bd11174ebfdfb6e7be3406be,sha256:c606154812c959009c4a22f89a9752d10c4934f947342904336e6d251e5eb615,30,1118,56,6658,EXACT,=,1118,=,56,=,6658
atcoder/abc304_e/short-trace-final,atcoder/abc304_e,short-trace-final,Python 3.12,d518223d0e2a2b11db0cd2ca5f4afce6c819027f9f1cdfb1e7fe08b3e2afa720,1cd388b68bbe07bb6d08bfd660596d2ec509164717c91843f75610c28d1ebda0,sha256:82c05b121896bc204487cdf9d5c31772c0e787c77fd040a8590eeb18c473c524,23,1931,29,9440,EXACT,=,1931,=,29,=,9440
atcoder/abc305_d/short-trace-final,atcoder/abc305_d,short-trace-final,Python 3.12,dbb7a1a03bde0428023ffdbb352a9d7b0810e93aa069248da71db77b84e7a2fe,cf45fdb147d5e1c472c2c7db6a50fce621e63be36487480d8eeb0bf91728e81a,sha256:efcadc6049c9daa68be8fc000891aa5db8fa8670fb9330db241263293c927bad,9,649,116,13738,EXACT,=,649,=,116,=,13738
atcoder/abc305_e/short-trace-final,atcoder/abc305_e,short-trace-final,Python 3.12,eccb6cb92595ba38368a6541230c4db2c84c1580811cbda5600cac23e6acef86,5d04e184020c09eeb92aedb25e5b19f5401bc30505a6047b0736cfcba23c5e62,sha256:a0634c9cffdf5b3cc058e0e5e14d8a7b40b8b3e6cfa33ddc8ffc004ce5828187,15,589,67,5730,EXACT,=,589,=,67,=,5730
atcoder/abc306_e/short-trace-final,atcoder/abc306_e,short-trace-final,Python 3.12,04c536fae9c14f26af82f7e7c6af619bd7f2d356ee0eada52996893f814195a5,4c560f0224fdae176714c86a48ed787f7a514cf1346257d0c2c5e54947ca12fe,sha256:9a3a11644949fa76acfc952a04be641aa2d47e65a1d14909912f8982cef1ed57,19,2510,80,33301,EXACT,=,2510,=,80,=,33301
atcoder/abc308_e/short-trace-final,atcoder/abc308_e,short-trace-final,Python 3.12,4709ea8d80f75e12a2824281c40a444d35bb4bb91e80a8f261bb679224b986e6,87b01ed7110ef44e986ce061e64e47146ccb267869b2cf7d172930b701178d8f,sha256:f3e40d14548ff41ce00c2493544f4fcf1fa51c129e74b1f7c1b15dd6047f8706,23,2105,99,19679,EXACT,=,2105,=,99,=,19679
atcoder/abc308_f/short-trace-final,atcoder/abc308_f,short-trace-final,Python 3.12,e25d0ea204abed1fbc7e38e3257d15b414630d0c33c3d04850a851bc76158291,7e15705eb5158b6765a7480dd5de2fb4f87a278e70b61b06f4cfb680f29bd161,sha256:bc24b57fa8f907b1374caeaa6b0542ca9966b91a87bbf96fcd19b3c56480c454,6,270,36,1325,EXACT,=,270,=,36,=,1325
atcoder/abc309_e/short-trace-final,atcoder/abc309_e,short-trace-final,Python 3.12,86dd5a8261429e54bd97c7ca464f929b680c3c2b00a670944e2dd51fee756de5,614aed30b4a24dfe7b8d19873a209cce86120b6d5d568052531f3ed838101e1e,sha256:8f9f2c3204768c7be1134928ff2651e6c2d5977d2166cdfd519b2aadd7ad9c7e,9,562,54,4431,EXACT,=,562,=,54,=,4431
atcoder/abc310_e/short-trace-final,atcoder/abc310_e,short-trace-final,Python 3.12,78a288e2aef56e63dcf17eb0e3a22ab0b6e42811997e433479d37da90f547645,b9f739ce7f5d22c8dc58273fb260aad0b3663def451dcdf2767faddf00e1191d,sha256:1bafc8ae06589fc2a554f2de114a5b9120b82897fd577d092e96e955b0f8e5cf,5,161,17,625,EXACT,=,161,=,17,=,625
atcoder/abc311_e/short-trace-final,atcoder/abc311_e,short-trace-final,Python 3.12,d2263cca3713b4a044ae4bdacf7f0cf6d6aa1be37ebbc3b39be499fb485f149d,50168f9a601056733f9e37ec8261530343dd690115ad836a596a523c0273d753,sha256:6d56fa764cdce707c18d41a3c442a093e98d6bc5bd9cecda7b925983b2f6d673,8,460,49,2211,EXACT,=,460,=,49,=,2211
atcoder/abc312_f/short-trace-final,atcoder/abc312_f,short-trace-final,Python 3.12,7755d7318ac699fbf3d69fa47acc32b32b804934ae6c506dacdf6e3d87ebe0d1,f0c62c7362278d2c7ec1f3dbea7de60a2977c101fe1301946c6ed3198e60bf32,sha256:a0eb374a8b488f59551550b6b3a8e395b7f85b330c83b31ce95c8c0b342398ce,20,824,74,8379,EXACT,=,824,=,74,=,8379
atcoder/abc314_e/short-trace-final,atcoder/abc314_e,short-trace-final,Python 3.12,3de9a165a2b2072903904bf3bfe2ce4ba651fab577ff4beb4e6f4409b362eb3f,43217fb959f1948f2fc20d2f6b0cdc7a0e224f2404cb4282088b7eafe8d949e5,sha256:3ae998f06d4f27a7e63424cd9713cae49cf442ad0acc353a94ce3691b300b3df,14,6315,108,108705,EXACT,=,6315,=,108,=,108705
