1 1003
1 1 1
3 2 1
5 3 1
7 4 1
9 5 1
11 6 1
13 7 1
15 8 1
17 9 1
19 10 1
21 11 1
23 12 1
25 13 1
27 14 1
29 15 1
31 16 1
33 17 1
35 1 1
37 2 1
39 3 1
41 4 1
43 5 1
45 6 1
47 7 1
49 8 1
51 9 1
53 10 1
55 11 1
57 12 1
59 13 1
61 14 1
63 15 1
65 16 1
67 17 1
69 1 1
71 2 1
73 3 1
75 4 1
77 5 1
79 6 1
81 7 1
83 8 1
85 9 1
87 10 1
89 11 1
91 12 1
93 13 1
95 14 1
97 15 1
99 16 1
101 17 1
103 1 1
105 2 1
107 3 1
109 4 1
111 5 1
113 6 1
115 7 1
117 8 1
119 9 1
121 10 1
123 11 1
125 12 1
127 13 1
129 14 1
131 15 1
133 16 1
135 17 1
137 1 1
139 2 1
141 3 1
143 4 1
145 5 1
147 6 1
149 7 1
151 8 1
153 9 1
155 10 1
157 11 1
159 12 1
161 13 1
163 14 1
165 15 1
167 16 1
169 17 1
171 1 1
173 2 1
175 3 1
177 4 1
179 5 1
181 6 1
183 7 1
185 8 1
187 9 1
189 10 1
191 11 1
193 12 1
195 13 1
197 14 1
199 15 1
201 16 1
203 17 1
205 1 1
207 2 1
209 3 1
211 4 1
213 5 1
215 6 1
217 7 1
219 8 1
221 9 1
223 10 1
225 11 1
227 12 1
229 13 1
231 14 1
233 15 1
235 16 1
237 17 1
239 1 1
241 2 1
243 3 1
245 4 1
247 5 1
249 6 1
251 7 1
253 8 1
255 9 1
257 10 1
259 11 1
261 12 1
263 13 1
265 14 1
267 15 1
269 16 1
271 17 1
273 1 1
275 2 1
277 3 1
279 4 1
281 5 1
283 6 1
285 7 1
287 8 1
289 9 1
291 10 1
293 11 1
295 12 1
297 13 1
299 14 1
301 15 1
303 16 1
305 17 1
307 1 1
309 2 1
311 3 1
313 4 1
315 5 1
317 6 1
319 7 1
321 8 1
323 9 1
325 10 1
327 11 1
329 12 1
331 13 1
333 14 1
335 15 1
337 16 1
339 17 1
341 1 1
343 2 1
345 3 1
347 4 1
349 5 1
351 6 1
353 7 1
355 8 1
357 9 1
359 10 1
361 11 1
363 12 1
365 13 1
367 14 1
