502 501 100
1 2 1 2
2 3 3 4
3 4 5 6
4 5 7 8
5 6 9 10
6 7 11 12
7 8 13 14
8 9 15 16
9 10 17 18
10 11 19 20
11 12 21 22
12 13 23 24
13 14 25 26
14 15 27 28
15 16 29 30
16 17 31 32
17 18 33 34
18 19 35 36
19 20 37 38
20 21 39 40
21 22 41 42
22 23 43 44
23 24 45 46
24 25 47 48
25 26 49 50
26 27 51 52
27 28 53 54
28 29 55 56
29 30 57 58
30 31 59 60
31 32 61 62
32 33 63 64
33 34 65 66
34 35 67 68
35 36 69 70
36 37 71 72
37 38 73 74
38 39 75 76
39 40 77 78
40 41 79 80
41 42 81 82
42 43 83 84
43 44 85 86
44 45 87 88
45 46 89 90
46 47 91 92
47 48 93 94
48 49 95 96
49 50 97 98
50 51 99 100
51 52 101 102
52 53 103 104
53 54 105 106
54 55 107 108
55 56 109 110
56 57 111 112
57 58 113 114
58 59 115 116
59 60 117 118
60 61 119 120
61 62 121 122
62 63 123 124
63 64 125 126
64 65 127 128
65 66 129 130
66 67 131 132
67 68 133 134
68 69 135 136
69 70 137 138
70 71 139 140
71 72 141 142
72 73 143 144
73 74 145 146
74 75 147 148
75 76 149 150
76 77 151 152
77 78 153 154
78 79 155 156
79 80 157 158
80 81 159 160
81 82 161 162
82 83 163 164
83 84 165 166
84 85 167 168
85 86 169 170
86 87 171 172
87 88 173 174
88 89 175 176
89 90 177 178
90 91 179 180
91 92 181 182
92 93 183 184
93 94 185 186
94 95 187 188
95 96 189 190
96 97 191 192
97 98 193 194
98 99 195 196
99 100 197 198
100 101 199 200
101 102 201 202
102 103 203 204
103 104 205 206
104 105 207 208
105 106 209 210
106 107 211 212
107 108 213 214
108 109 215 216
109 110 217 218
110 111 219 220
111 112 221 222
112 113 223 224
113 114 225 226
114 115 227 228
115 116 229 230
116 117 231 232
117 118 233 234
118 119 235 236
119 120 237 238
120 121 239 240
121 122 241 242
122 123 243 244
123 124 245 246
124 125 247 248
125 126 249 250
126 127 251 252
127 128 253 254
128 129 255 256
129 130 257 258
130 131 259 260
131 132 261 262
132 133 263 264
133 134 265 266
134 135 267 268
135 136 269 270
136 137 271 272
137 138 273 274
138 139 275 276
139 140 277 278
140 141 279 280
141 142 281 282
142 143 283 284
143 144 285 286
144 145 287 288
145 146 289 290
146 147 291 292
147 148 293 294
148 149 295 296
149 150 297 298
150 151 299 300
151 152 301 302
152 153 303 304
153 154 305 306
154 155 307 308
155 156 309 310
156 157 311 312
157 158 313 314
158 159 315 316
159 160 317 318
160 161 319 320
161 162 321 322
162 163 323 324
163 164 325 326
164 165 327 328
165 166 329 330
166 167 331 332
167 168 333 334
168 169 335 336
169 170 337 338
170 171 339 340
171 172 341 342
172 173 343 344
173 174 345 346
174 175 347 348
175 176 349 350
176 177 351 352
177 178 353 354
178 179 355 356
179 180 357 358
180 181 359 360
181 182 361 362
182 183 363 364
183 184 365 366
184 185 367 368
185 186 369 370
186 187 371 372
187 188 373 374
188 189 375 376
189 190 377 378
190 191 379 380
191 192 381 382
192 193 383 384
193 194 385 386
194 195 387 388
195 196 389 390
196 197 391 392
197 198 393 394
198 199 395 396
199 200 397 398
200 201 399 400
201 202 401 402
202 203 403 404
203 204 405 406
204 205 407 408
205 206 409 410
206 207 411 412
207 208 413 414
208 209 415 416
209 210 417 418
210 211 419 420
211 212 421 422
212 213 423 424
213 214 425 426
214 215 427 428
215 216 429 430
216 217 431 432
217 218 433 434
218 219 435 436
219 220 437 438
220 221 439 440
221 222 441 442
222 223 443 444
223 224 445 446
224 225 447 448
225 226 449 450
226 227 451 452
227 228 453 454
228 229 455 456
229 230 457 458
230 231 459 460
231 232 461 462
232 233 463 464
233 234 465 466
234 235 467 468
235 236 469 470
236 237 471 472
237 238 473 474
238 239 475 476
239 240 477 478
240 241 479 480
241 242 481 482
242 243 483 484
243 244 485 486
244 245 487 488
245 246 489 490
246 247 491 492
247 248 493 494
248 249 495 496
249 250 497 498
250 251 499 500
251 252 501 502
252 253 503 504
253 254 505 506
254 255 507 508
255 256 509 510
256 257 511 512
257 258 513 514
258 259 515 516
259 260 517 518
260 261 519 520
261 262 521 522
262 263 523 524
263 264 525 526
264 265 527 528
265 266 529 530
266 267 531 532
267 268 533 534
268 269 535 536
269 270 537 538
270 271 539 540
271 272 541 542
272 273 543 544
273 274 545 546
274 275 547 548
275 276 549 550
276 277 551 552
277 278 553 554
278 279 555 556
279 280 557 558
280 281 559 560
281 282 561 562
282 283 563 564
283 284 565 566
284 285 567 568
285 286 569 570
286 287 571 572
287 288 573 574
288 289 575 576
289 290 577 578
290 291 579 580
291 292 581 582
292 293 583 584
293 294 585 586
294 295 587 588
295 296 589 590
296 297 591 592
297 298 593 594
298 299 595 596
299 300 597 598
300 301 599 600
301 302 601 602
302 303 603 604
303 304 605 606
304 305 607 608
305 306 609 610
306 307 611 612
307 308 613 614
308 309 615 616
309 310 617 618
310 311 619 620
311 312 621 622
312 313 623 624
313 314 625 626
314 315 627 628
315 316 629 630
316 317 631 632
317 318 633 634
318 319 635 636
319 320 637 638
320 321 639 640
321 322 641 642
322 323 643 644
323 324 645 646
324 325 647 648
325 326 649 650
326 327 651 652
327 328 653 654
328 329 655 656
329 330 657 658
330 331 659 660
331 332 661 662
332 333 663 664
333 334 665 666
334 335 667 668
335 336 669 670
336 337 671 672
337 338 673 674
338 339 675 676
339 340 677 678
340 341 679 680
341 342 681 682
342 343 683 684
343 344 685 686
344 345 687 688
345 346 689 690
346 347 691 692
347 348 693 694
348 349 695 696
349 350 697 698
350 351 699 700
351 352 701 702
352 353 703 704
353 354 705 706
354 355 707 708
355 356 709 710
356 357 711 712
357 358 713 714
358 359 715 716
359 360 717 718
360 361 719 720
361 362 721 722
362 363 723 724
363 364 725 726
364 365 727 728
365 366 729 730
366 367 731 732
367 368 733 734
368 369 735 736
369 370 737 738
370 371 739 740
371 372 741 742
372 373 743 744
373 374 745 746
374 375 747 748
375 376 749 750
376 377 751 752
377 378 753 754
378 379 755 756
379 380 757 758
380 381 759 760
381 382 761 762
382 383 763 764
383 384 765 766
384 385 767 768
385 386 769 770
386 387 771 772
387 388 773 774
388 389 775 776
389 390 777 778
390 391 779 780
391 392 781 782
392 393 783 784
393 394 785 786
394 395 787 788
395 396 789 790
396 397 791 792
397 398 793 794
398 399 795 796
399 400 797 798
400 401 799 800
401 402 801 802
402 403 803 804
403 404 805 806
404 405 807 808
405 406 809 810
406 407 811 812
407 408 813 814
408 409 815 816
409 410 817 818
410 411 819 820
411 412 821 822
412 413 823 824
413 414 825 826
414 415 827 828
415 416 829 830
416 417 831 832
417 418 833 834
418 419 835 836
419 420 837 838
420 421 839 840
421 422 841 842
422 423 843 844
423 424 845 846
424 425 847 848
425 426 849 850
426 427 851 852
427 428 853 854
428 429 855 856
429 430 857 858
430 431 859 860
431 432 861 862
432 433 863 864
433 434 865 866
434 435 867 868
435 436 869 870
436 437 871 872
437 438 873 874
438 439 875 876
439 440 877 878
440 441 879 880
441 442 881 882
442 443 883 884
443 444 885 886
444 445 887 888
445 446 889 890
446 447 891 892
447 448 893 894
448 449 895 896
449 450 897 898
450 451 899 900
451 452 901 902
452 453 903 904
453 454 905 906
454 455 907 908
455 456 909 910
456 457 911 912
457 458 913 914
458 459 915 916
459 460 917 918
460 461 919 920
461 462 921 922
462 463 923 924
463 464 925 926
464 465 927 928
465 466 929 930
466 467 931 932
467 468 933 934
468 469 935 936
469 470 937 938
470 471 939 940
471 472 941 942
472 473 943 944
473 474 945 946
474 475 947 948
475 476 949 950
476 477 951 952
477 478 953 954
478 479 955 956
479 480 957 958
480 481 959 960
481 482 961 962
482 483 963 964
483 484 965 966
484 485 967 968
485 486 969 970
486 487 971 972
487 488 973 974
488 489 975 976
489 490 977 978
490 491 979 980
491 492 981 982
492 493 983 984
493 494 985 986
494 495 987 988
495 496 989 990
496 497 991 992
497 498 993 994
498 499 995 996
499 500 997 998
500 501 999 1000
501 502 1001 1002
